Year,Date,Marathon,Overall AQI Value,Main Pollutant,Ozone,PM10,PM2.5,NO2,CO
2025,10-12-2025,Chicago,42,PM2.5,41,16,42,NA,NA
2024,10-13-2024,Chicago,91,PM10,34,91,70,25,5
2023,10-8-2023,Chicago,43,PM2.5,27,16,43,25,3
2022,10-9-2022,Chicago,50,PM2.5,39,46,50,39,8
2021,10-10-2021,Chicago,72,PM2.5,46,43,72,28,6
2019,10-13-2019,Chicago,44,PM2.5,36,24,44,27,3
2018,10-7-2018,Chicago,48,PM2.5,21,10,48,8,3
2017,10-8-2017,Chicago,46,PM2.5,44,14,46,36,3
2016,10-9-2016,Chicago,67,PM2.5,37,24,67,27,5
2015,10-11-2015,Chicago,51,PM2.5,47,30,51,20,8
2014,10-12-2014,Chicago,53,PM2.5,40,14,53,38,9
2013,10-13-2013,Chicago,60,PM2.5,32,28,60,33,7
2012,10-7-2012,Chicago,51,PM2.5,32,16,51,39,7
2011,10-9-2011,Chicago,85,PM2.5,77,33,85,56,16
2010,10-10-2010,Chicago,87,PM2.5,87,41,87,66,16
2009,10-11-2009,Chicago,52,PM2.5,28,18,52,29,7
2008,10-12-2008,Chicago,75,PM2.5,71,31,75,54,19
2007,10-7-2007,Chicago,77,Ozone,77,36,73,54,14
2006,10-22-2006,Chicago,63,PM2.5,26,23,63,32,8
2005,10-9-2005,Chicago,49,PM2.5,35,16,49,38,8
2004,10-10-2004,Chicago,52,PM2.5,35,16,52,43,42
2003,10-12-2003,Chicago,61,PM2.5,35,32,61,45,18
2002,10-13-2002,Chicago,84,PM2.5,31,53,84,46,27
2001,10-7-2001,Chicago,65,PM2.5,37,26,65,44,39
2000,10-22-2000,Chicago,93,PM2.5,31,40,93,64,36
1999,10-24-1999,Chicago,76,PM2.5,31,41,76,47,16
1998,10-11-1998,Chicago,92,PM2.5,61,36,92,57,56
1997,10-19-1997,Chicago,66,PM2.5,38,44,66,52,39
1996,10-20-1996,Chicago,57,NO2,34,33,NA,57,52
2025,4-21-2025,Boston,45,Ozone,45,7,22,32,3
2024,4-15-2024,Boston,50,Ozone,50,19,37,27,6
2023,4-17-2023,Boston,45,PM2.5,38,18,45,28,5
2022,4-18-2022,Boston,37,Ozone,37,7,36,24,3
2021,10-11-2021,Boston,47,PM2.5,35,13,47,19,3
2019,4-15-2019,Boston,47,Ozone,47,5,29,35,3
2018,4-16-2018,Boston,46,PM2.5,43,6,46,21,2
2017,4-17-2017,Boston,52,PM2.5,46,6,52,18,3
2016,4-18-2016,Boston,55,PM2.5,54,19,55,40,5
2015,4-20-2015,Boston,43,PM2.5,42,9,43,25,2
2014,4-21-2014,Boston,74,Ozone,74,NA,54,34,7
2013,4-15-2013,Boston,41,Ozone,41,NA,38,27,3
2012,4-16-2012,Boston,100,Ozone,100,NA,73,31,3
2011,4-18-2011,Boston,53,PM2.5,47,8,53,20,5
2010,4-19-2010,Boston,40,Ozone,40,NA,39,29,3
2009,4-20-2009,Boston,47,Ozone,47,NA,45,36,5
2008,4-21-2008,Boston,56,PM2.5,49,NA,56,36,7
2007,4-16-2007,Boston,52,PM2.5,49,NA,52,25,5
2006,4-17-2006,Boston,39,Ozone,39,8,34,30,6
2005,4-18-2005,Boston,58,PM2.5,51,NA,58,39,9
2004,4-19-2004,Boston,100,Ozone,100,NA,85,57,5
2003,4-21-2003,Boston,71,Ozone,71,33,59,43,10
2002,4-15-2002,Boston,62,PM2.5,35,NA,62,38,13
2001,4-16-2001,Boston,57,PM2.5,50,NA,57,42,9
2000,4-17-2000,Boston,55,PM2.5,42,NA,55,30,7
1999,4-19-1999,Boston,53,NO2,48,NA,47,53,14
1998,4-20-1998,Boston,49,Ozone,49,NA,NA,41,17
1997,4-21-1997,Boston,57,NO2,44,NA,NA,57,15
1996,4-15-1996,Boston,69,PM10,41,69,NA,34,13
2025,11-2-2025,NYC,52,PM2.5,35,NA,52,NA,NA
2024,11-3-2024,NYC,41,NO2,35,NA,39,41,8
2023,11-5-2023,NYC,72,PM2.5,43,NA,72,46,13
2022,11-6-2022,NYC,53,PM2.5,31,NA,53,26,9
2021,11-7-2021,NYC,73,PM2.5,39,NA,73,42,17
2019,11-3-2019,NYC,52,PM2.5,31,NA,52,32,7
2018,11-4-2018,NYC,49,PM2.5,30,9,49,36,8
2017,11-5-2017,NYC,52,PM2.5,28,NA,52,27,8
2016,11-6-2016,NYC,43,PM2.5,33,NA,43,23,7
2015,11-1-2015,NYC,57,PM2.5,31,NA,57,28,9
2014,11-2-2014,NYC,35,Ozone,35,NA,26,11,5
2013,11-3-2013,NYC,38,PM2.5,31,NA,38,17,6
2011,11-6-2011,NYC,63,PM2.5,32,NA,63,49,32
2010,11-7-2010,NYC,44,PM2.5,31,NA,44,23,7
2009,11-1-2009,NYC,42,PM2.5,27,.,42,30,10
2008,11-2-2008,NYC,52,PM2.5,31,10,52,37,9
2007,11-4-2007,NYC,61,PM2.5,34,NA,61,40,13
2006,11-5-2006,NYC,70,PM2.5,29,NA,70,39,18
2005,11-6-2005,NYC,119,PM2.5,50,42,119,63,27
2004,11-7-2004,NYC,58,PM2.5,44,NA,58,48,15
2003,11-2-2003,NYC,86,PM2.5,37,NA,86,46,24
2002,11-3-2002,NYC,52,PM2.5,31,12,52,44,17
2001,11-4-2001,NYC,52,PM2.5,39,17,52,51,19
2000,11-5-2000,NYC,55,PM2.5,31,10,55,27,22
1999,11-7-1999,NYC,38,NO2,36,NA,29,38,26
1998,11-1-1998,NYC,33,NO2,31,22,NA,33,28
1997,11-2-1997,NYC,40,NO2,31,18,NA,40,33
1996,11-3-1996,NYC,36,NO2,27,19,NA,36,34
2025,9-21-2025,Berlin,33,PM2.5,30,13,33,7,NA
2024,9-29-2024,Berlin,25,PM2.5,23,9,25,8,NA
2023,9-24-2023,Berlin,33,PM2.5,21,10,33,8,NA
2022,9-25-2022,Berlin,57,PM2.5,24,18,57,9,NA
2021,9-26-2021,Berlin,50,PM2.5,22,15,50,10,NA
2019,9-29-2019,Berlin,21,PM2.5,18,7,21,7,NA
2018,9-16-2018,Berlin,38,PM2.5,20,14,38,15,NA
2017,9-24-2017,Berlin,72,PM2.5,10,25,72,7,NA
2016,9-25-2016,Berlin,29,Ozone,29,22,NA,13,NA
2015,9-27-2015,Berlin,14,NO2,14,12,NA,14,NA
2014,9-28-2014,Berlin,22,NO2,12,21,NA,22,NA
2013,9-29-2013,Berlin,13,Ozone,13,11,NA,9,NA
2012,9-30-2012,Berlin,18,Ozone,18,16,NA,15,NA
2011,9-25-2011,Berlin,28,PM10,18,28,NA,20,NA
2010,9-26-2010,Berlin,13,Ozone,13,NA,NA,8,NA
2009,9-20-2009,Berlin,32,PM10,22,32,NA,20,NA
2008,9-28-2008,Berlin,26,PM10,19,26,NA,15,NA
2007,9-30-2007,Berlin,14,Ozone,14,12,NA,11,NA
2006,9-24-2006,Berlin,36,Ozone,36,30,NA,8,NA
2005,9-25-2005,Berlin,35,PM10,24,35,NA,17,NA
2004,9-26-2004,Berlin,12,NO2,12,12,NA,12,NA
2003,9-28-2003,Berlin,23,Ozone,23,17,NA,11,NA
2002,9-29-2002,Berlin,21,NO2,8,19,NA,21,NA
2001,9-30-2001,Berlin,32,PM10,11,32,NA,7,NA
2000,9-10-2000,Berlin,13,Ozone,13,NA,NA,10,NA
1999,9-26-1999,Berlin,13,NO2,7,NA,NA,13,NA
1998,9-20-1998,Berlin,19,Ozone,19,NA,NA,16,NA
1997,9-28-1997,Berlin,18,NO2,11,NA,NA,18,NA
1996,9-29-1996,Berlin,11,NO2,10,NA,NA,11,NA
