n,marathon,year,gender,subgroup,avg_chip_seconds,high_temp,low_temp,avg_temp,precipitation,dew_point,wind_speed,visibility,sea_level_pressure,aqi,main_pollutant,co,ozone,pm10,pm25,no2
407,Berlin,1996,female,elite,11724.756756756758,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
407,Berlin,1996,female,competitive,13448.090909090908,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
407,Berlin,1996,female,average,14439.872235872235,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
407,Berlin,1996,female,recreational,15445.321867321869,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
407,Berlin,1996,female,slow,17273.63144963145,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
2780,Berlin,1996,male,elite,10447.28705035968,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
2780,Berlin,1996,male,competitive,12005.022302158264,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
2779,Berlin,1996,male,average,12996.063332133854,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
2779,Berlin,1996,male,recreational,14018.581863979842,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
2779,Berlin,1996,male,slow,15985.730118747713,57,44,52.34,0.23,48.61,10,NA,30.09,11,NO2,NA,10,NA,NA,11
368,Berlin,1997,female,elite,12319.869565217392,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
367,Berlin,1997,female,competitive,13895.405994550407,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
367,Berlin,1997,female,average,14955.397820163485,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
367,Berlin,1997,female,recreational,15980.149863760216,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
367,Berlin,1997,female,slow,17742.174386920975,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
2630,Berlin,1997,male,elite,10862.58441064641,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
2629,Berlin,1997,male,competitive,12460.318372004576,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
2629,Berlin,1997,male,average,13506.815138836064,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
2629,Berlin,1997,male,recreational,14576.9779383796,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
2629,Berlin,1997,male,slow,16681.698364397114,66,40,53.06,0,40.52,3,NA,30.08,18,NO2,NA,11,NA,NA,18
640,Berlin,1998,female,elite,12724.939062500005,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
640,Berlin,1998,female,competitive,14290.471874999997,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
640,Berlin,1998,female,average,15357.674999999997,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
640,Berlin,1998,female,recreational,16504.459374999995,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
639,Berlin,1998,female,slow,18436.00156494524,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
3561,Berlin,1998,male,elite,11185.19629317607,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
3561,Berlin,1998,male,competitive,12806.727042965447,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
3561,Berlin,1998,male,average,13868.884302162303,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
3561,Berlin,1998,male,recreational,15069.649817467012,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
3560,Berlin,1998,male,slow,17291.3101123596,68,51,60.26,0,46.53,3,NA,30.54,19,Ozone,NA,19,NA,NA,16
516,Berlin,1999,female,elite,12635.76550387597,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
516,Berlin,1999,female,competitive,14199.147286821702,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
516,Berlin,1999,female,average,15284.203488372095,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
515,Berlin,1999,female,recreational,16362.359223300973,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
515,Berlin,1999,female,slow,18182.454368932045,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
3311,Berlin,1999,male,elite,11178.267592872231,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
3310,Berlin,1999,male,competitive,12830.71148036255,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
3310,Berlin,1999,male,average,13879.031722054398,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
3310,Berlin,1999,male,recreational,14987.906646525676,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
3310,Berlin,1999,male,slow,17122.413293051406,63,55,61.16,0.02,56.49,5,NA,29.71,13,NO2,NA,7,NA,NA,13
710,Berlin,2000,female,elite,13123.091549295774,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
710,Berlin,2000,female,competitive,14921.146478873237,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
709,Berlin,2000,female,average,16032.228490832156,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
709,Berlin,2000,female,recreational,17124.126939351194,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
709,Berlin,2000,female,slow,19176.423131170657,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
3867,Berlin,2000,male,elite,11549.085596069332,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
3867,Berlin,2000,male,competitive,13309.580294802172,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
3866,Berlin,2000,male,average,14461.3572167615,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
3866,Berlin,2000,male,recreational,15768.366270046554,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
3866,Berlin,2000,male,slow,18043.35049146399,70,58,64.22,0,56.32,4,NA,30.2,13,Ozone,NA,13,NA,NA,10
827,Berlin,2001,female,elite,12981.909310761795,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
827,Berlin,2001,female,competitive,14511.201934703751,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
827,Berlin,2001,female,average,15603.183796856109,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
827,Berlin,2001,female,recreational,16712.649334945585,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
826,Berlin,2001,female,slow,18647.881355932197,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
4332,Berlin,2001,male,elite,11317.235687903933,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
4332,Berlin,2001,male,competitive,12968.22783933517,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
4332,Berlin,2001,male,average,14053.583333333347,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
4331,Berlin,2001,male,recreational,15261.280535673066,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
4331,Berlin,2001,male,slow,17413.867928884847,60,51,56.48,0.12,52.93,7,NA,29.94,32,PM10,NA,11,32,NA,7
880,Berlin,2002,female,elite,12733.882954545461,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
880,Berlin,2002,female,competitive,14471.293181818182,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
880,Berlin,2002,female,average,15606.945454545457,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
880,Berlin,2002,female,recreational,16759.971590909096,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
880,Berlin,2002,female,slow,18721.831818181836,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
4178,Berlin,2002,male,elite,11178.5016754428,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
4177,Berlin,2002,male,competitive,12924.613837682564,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
4177,Berlin,2002,male,average,14061.207086425653,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
4177,Berlin,2002,male,recreational,15334.763227196572,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
4177,Berlin,2002,male,slow,17531.605458462975,62,50,55.22,0,48.6,4,NA,30.38,21,NO2,NA,8,19,NA,21
1121,Berlin,2003,female,elite,13040.136485281004,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
1121,Berlin,2003,female,competitive,14774.141837644955,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
1121,Berlin,2003,female,average,15929.889384478143,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
1121,Berlin,2003,female,recreational,17072.46833184657,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
1120,Berlin,2003,female,slow,19118.639285714282,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
5021,Berlin,2003,male,elite,11401.553873730309,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
5021,Berlin,2003,male,competitive,13133.628759211328,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
5021,Berlin,2003,male,average,14265.325831507655,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
5021,Berlin,2003,male,recreational,15555.738697470617,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
5021,Berlin,2003,male,slow,17890.657040430156,66,40,53.24,0.02,40.42,4,6.21,29.97,23,Ozone,NA,23,17,NA,11
1045,Berlin,2004,female,elite,13001.166507177024,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
1045,Berlin,2004,female,competitive,14622.26794258373,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
1045,Berlin,2004,female,average,15790.355023923443,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
1045,Berlin,2004,female,recreational,16911.17224880382,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
1044,Berlin,2004,female,slow,19059.206896551736,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
4560,Berlin,2004,male,elite,11335.460745614047,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
4560,Berlin,2004,male,competitive,13023.839912280724,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
4560,Berlin,2004,male,average,14106.065350877207,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
4559,Berlin,2004,male,recreational,15347.325290633891,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
4559,Berlin,2004,male,slow,17729.40908093873,57,48,51.98,0.04,48.81,7,6.06,30.03,12,NO2,NA,12,12,NA,12
1174,Berlin,2005,female,elite,13120.292163543429,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
1174,Berlin,2005,female,competitive,14935.021294718916,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
1174,Berlin,2005,female,average,16175.076660988077,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
1173,Berlin,2005,female,recreational,17395.79113384484,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
1173,Berlin,2005,female,slow,19607.58738277918,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
4901,Berlin,2005,male,elite,11567.517445419353,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
4901,Berlin,2005,male,competitive,13381.105284635785,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
4901,Berlin,2005,male,average,14565.009997959602,74,50,62.78,0,53.55,4,6.35,29.98,35,PM10,NA,24,35,NA,17
